date,reported_cases
2020/03/01,3
2020/03/02,4
2020/03/03,4
2020/03/04,4
2020/03/05,5
2020/03/06,6
2020/03/07,6
2020/03/08,7
2020/03/09,11
2020/03/10,19
2020/03/11,25
2020/03/12,32
2020/03/13,46
2020/03/14,60
2020/03/15,85
2020/03/16,93
2020/03/17,153
2020/03/18,269
2020/03/19,404
2020/03/20,562
2020/03/21,726
2020/03/22,1024
2020/03/23,1200
2020/03/24,1507
2020/03/25,1840
2020/03/26,2492
2020/03/27,2989
2020/03/28,3496
2020/03/29,4525
2020/03/30,4957
2020/03/31,5905
2020/04/01,6870
2020/04/02,7568
2020/04/03,8758
2020/04/04,10201
2020/04/05,11050
2020/04/06,11990
2020/04/07,13212
2020/04/08,14644
2020/04/09,15916
2020/04/10,17311
2020/04/11,18642
2020/04/12,20296
2020/04/13,21474
2020/04/14,22663
2020/04/15,23998
2020/04/16,25139
2020/04/17,26918
2020/04/18,28401
2020/04/19,29514
2020/04/20,30653
2020/04/21,32081
2020/04/22,33919
2020/04/23,35723
2020/04/24,38306
2020/04/25,40291
2020/04/26,42222
2020/04/27,44120
2020/04/28,46229
2020/04/29,48363
2020/04/30,50720
2020/05/01,53843
2020/05/02,56260
2020/05/03,59059
2020/05/04,61273
2020/05/05,63309
2020/05/06,65510
2020/05/07,67990
2020/05/08,70731
2020/05/09,72858
