date,reported_cases
2020/03/01,
2020/03/02,
2020/03/03,
2020/03/04,10.0
2020/03/05,20.0
2020/03/06,42.0
2020/03/07,78.0
2020/03/08,94.0
2020/03/09,129.0
2020/03/10,145.0
2020/03/11,180.0
2020/03/12,244.0
2020/03/13,297.0
2020/03/14,389.0
2020/03/15,459.0
2020/03/16,592.0
2020/03/17,897.0
2020/03/18,1306.0
2020/03/19,2175.0
2020/03/20,3274.0
2020/03/21,4884.0
2020/03/22,7210.0
2020/03/23,10194.0
2020/03/24,12837.0
2020/03/25,15409.0
2020/03/26,19904.0
2020/03/27,24371.0
2020/03/28,29067.0
2020/03/29,33624.0
2020/03/30,38957.0
2020/03/31,44414.0
2020/04/01,50244.0
2020/04/02,56950.0
2020/04/03,65663.0
2020/04/04,75728.0
2020/04/05,82228.0
2020/04/06,89875.0
2020/04/07,97299.0
2020/04/08,104934.0
2020/04/09,113217.0
2020/04/10,121546.0
2020/04/11,128130.0
2020/04/12,134070.0
2020/04/13,139050.0
2020/04/14,145515.0
2020/04/15,151290.0
2020/04/16,158555.0
2020/04/17,164474.0
2020/04/18,169931.0
2020/04/19,175841.0
2020/04/20,180951.0
2020/04/21,185550.0
2020/04/22,190183.0
2020/04/23,195948.0
2020/04/24,201412.0
2020/04/25,208828.0
2020/04/26,213916.0
2020/04/27,216679.0
2020/04/28,219640.0
2020/04/29,223396.0
2020/04/30,226795.0
2020/05/01,229966.0
2020/05/02,233325.0
2020/05/03,236702.0
2020/05/04,238532.0
2020/05/05,241065.0
2020/05/06,242751.0
2020/05/07,245083.0
2020/05/08,247257.0
2020/05/09,249056.0
